,Date,h_team,a_team,Home Score,Away Score,play_off,home_odds,away_odds,season,margin,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,win_loc
100,2017-06-17,Gold Coast,Carlton,73,83,0,1.35,3.15,2017,-10,24.0,28.0,26.0,54.0,-34.0,-39.0,-43.0,0
101,2017-06-17,Port Adelaide,Brisbane,121,81,0,1.04,10.99,2017,40,40.0,12.0,83.0,94.0,77.0,-37.0,113.0,1
102,2017-06-17,Richmond,Sydney,71,80,0,1.95,1.84,2017,-9,32.0,68.0,-113.0,1.0,18.0,3.0,-11.0,0
103,2017-06-16,North Melbourne,St Kilda,72,89,0,1.99,1.81,2017,-17,48.0,48.0,23.0,7.0,37.0,59.0,68.0,0
104,2017-06-15,West Coast,Geelong,83,70,0,2.2,1.67,2017,13,64.0,68.0,-44.0,56.0,-75.0,-66.0,5.0,1
105,2017-06-12,Melbourne,Collingwood,104,100,0,1.57,2.39,2017,4,40.0,36.0,46.0,35.0,37.0,-25.0,-33.0,1
106,2017-06-11,Carlton,GWS Giants,71,70,0,4.15,1.23,2017,1,28.0,64.0,-62.0,-81.0,-78.0,-8.0,94.0,1
107,2017-06-10,Essendon,Port Adelaide,131,61,0,3.37,1.32,2017,70,12.0,40.0,-61.0,-13.0,2.0,30.0,50.0,1
108,2017-06-10,Brisbane,Fremantle,121,64,0,2.31,1.62,2017,57,12.0,16.0,-83.0,-36.0,-58.0,-83.0,-40.0,1
109,2017-06-10,Hawthorn,Gold Coast,79,95,0,1.92,1.87,2017,-16,68.0,24.0,-86.0,26.0,53.0,53.0,99.0,0
110,2017-06-09,Adelaide,St Kilda,111,54,0,1.14,5.65,2017,57,64.0,48.0,88.0,46.0,79.0,86.0,40.0,1
111,2017-06-08,Sydney,Western Bulldogs,88,42,0,1.74,2.07,2017,46,68.0,60.0,-23.0,-22.0,-4.0,-4.0,63.0,1
112,2017-06-04,Fremantle,Collingwood,85,105,0,2.05,1.76,2017,-20,16.0,36.0,-48.0,7.0,70.0,27.0,-29.0,0
113,2017-06-03,North Melbourne,Richmond,66,101,0,1.9,1.88,2017,-35,48.0,32.0,70.0,17.0,-41.0,35.0,28.0,0
114,2017-06-03,GWS Giants,Essendon,117,101,0,1.25,3.93,2017,16,64.0,12.0,27.0,32.0,-15.0,-39.0,-39.0,1
115,2017-06-03,Gold Coast,West Coast,80,77,0,1.96,1.83,2017,3,24.0,64.0,-77.0,0.0,-92.0,-52.0,-3.0,1
116,2017-06-02,Geelong,Adelaide,96,74,0,2.1,1.72,2017,22,68.0,64.0,30.0,26.0,39.0,38.0,-2.0,1
117,2017-06-01,Port Adelaide,Hawthorn,98,47,0,1.16,5.18,2017,51,40.0,68.0,-22.0,22.0,8.0,-3.0,14.0,1
118,2017-05-28,West Coast,GWS Giants,90,98,0,1.53,2.49,2017,-8,64.0,64.0,1.0,87.0,111.0,100.0,81.0,0
119,2017-05-28,Carlton,North Melbourne,96,113,0,3.36,1.32,2017,-17,28.0,48.0,-67.0,-64.0,23.0,1.0,-53.0,0
120,2017-05-28,Collingwood,Brisbane,129,84,0,1.06,8.54,2017,45,36.0,12.0,78.0,12.0,-67.0,49.0,58.0,1
121,2017-05-27,Adelaide,Fremantle,143,43,0,1.15,5.43,2017,100,64.0,16.0,72.0,33.0,-11.0,-40.0,-22.0,1
122,2017-05-27,Richmond,Essendon,81,66,0,1.76,2.06,2017,15,32.0,12.0,19.0,38.0,27.0,13.0,18.0,1
123,2017-05-27,Melbourne,Gold Coast,122,87,0,1.37,3.1,2017,35,40.0,24.0,2.0,73.0,26.0,-8.0,-13.0,1
124,2017-05-27,Western Bulldogs,St Kilda,90,50,0,1.44,2.77,2017,40,60.0,48.0,-15.0,57.0,6.0,-7.0,23.0,1
125,2017-05-26,Sydney,Hawthorn,75,81,0,1.14,5.65,2017,-6,68.0,68.0,-5.0,14.0,-89.0,4.0,-63.0,0
126,2017-05-25,Geelong,Port Adelaide,81,79,0,1.68,2.18,2017,2,68.0,40.0,48.0,23.0,-40.0,16.0,25.0,1
127,2017-05-21,Fremantle,Carlton,86,51,0,1.34,3.27,2017,35,16.0,28.0,-4.0,42.0,5.0,36.0,-8.0,1
128,2017-05-21,Melbourne,North Melbourne,90,104,0,1.57,2.41,2017,-14,40.0,48.0,-5.0,-35.0,-30.0,-41.0,-122.0,0
129,2017-05-21,Essendon,West Coast,125,64,0,2.35,1.59,2017,61,12.0,64.0,-78.0,-50.0,3.0,-53.0,7.0,1
130,2017-05-20,Brisbane,Adelaide,60,140,0,9.4,1.05,2017,-80,12.0,64.0,-138.0,-87.0,-13.0,-105.0,-19.0,0
131,2017-05-20,Collingwood,Hawthorn,90,72,0,1.5,2.59,2017,18,36.0,68.0,-1.0,-10.0,-65.0,-29.0,-35.0,1
132,2017-05-20,GWS Giants,Richmond,78,75,0,1.25,3.94,2017,3,64.0,32.0,88.0,-9.0,-27.0,-113.0,-121.0,1
133,2017-05-20,St Kilda,Sydney,68,118,0,1.95,1.85,2017,-50,48.0,68.0,-70.0,-97.0,-71.0,-59.0,-16.0,0
134,2017-05-19,Geelong,Western Bulldogs,104,81,0,1.91,1.88,2017,23,68.0,60.0,25.0,57.0,8.0,13.0,21.0,1
135,2017-05-14,North Melbourne,Sydney,78,120,0,1.71,2.14,2017,-42,48.0,68.0,-9.0,-26.0,26.0,-16.0,-71.0,0
136,2017-05-14,Gold Coast,Port Adelaide,38,110,0,3.33,1.33,2017,-72,24.0,40.0,-23.0,-37.0,-9.0,-17.0,-38.0,0
137,2017-05-14,Richmond,Fremantle,70,72,0,1.41,2.89,2017,-2,32.0,16.0,38.0,-4.0,27.0,-20.0,27.0,0
138,2017-05-13,Adelaide,Melbourne,66,107,0,1.13,5.88,2017,-41,64.0,40.0,22.0,25.0,-3.0,68.0,69.0,0
139,2017-05-13,Essendon,Geelong,110,93,0,3.35,1.32,2017,17,12.0,68.0,-66.0,-30.0,-69.0,-9.0,-28.0,1
140,2017-05-13,GWS Giants,Collingwood,102,99,0,1.21,4.39,2017,3,64.0,36.0,-32.0,-42.0,-8.0,-40.0,-120.0,1
141,2017-05-13,St Kilda,Carlton,85,66,0,1.3,3.52,2017,19,48.0,28.0,71.0,32.0,-40.0,-85.0,-32.0,1
142,2017-05-13,Hawthorn,Brisbane,113,75,0,1.1,6.88,2017,38,68.0,12.0,48.0,72.0,48.0,58.0,65.0,1
143,2017-05-12,West Coast,Western Bulldogs,69,61,0,1.45,2.74,2017,8,64.0,60.0,-47.0,-8.0,77.0,-10.0,65.0,1
144,2017-05-07,Fremantle,Essendon,116,79,0,1.55,2.44,2017,37,16.0,12.0,79.0,28.0,53.0,-4.0,-24.0,1
145,2017-05-07,Melbourne,Hawthorn,91,94,0,1.46,2.72,2017,-3,40.0,68.0,29.0,-18.0,-105.0,-50.0,-95.0,0
146,2017-05-07,Sydney,Brisbane,135,81,0,1.08,7.41,2017,54,68.0,12.0,3.0,21.0,79.0,60.0,47.0,1
147,2017-05-06,Gold Coast,Geelong,124,99,0,2.63,1.49,2017,25,24.0,68.0,-120.0,-9.0,40.0,-52.0,-14.0,1
148,2017-05-06,Western Bulldogs,Richmond,80,75,0,1.3,3.52,2017,5,60.0,32.0,10.0,19.0,2.0,-60.0,-67.0,1
149,2017-05-06,Port Adelaide,West Coast,87,97,0,1.33,3.29,2017,-10,40.0,64.0,-8.0,-10.0,14.0,5.0,-48.0,0
150,2017-05-06,Collingwood,Carlton,56,79,0,1.33,3.28,2017,-23,36.0,28.0,12.0,-15.0,18.0,75.0,15.0,0
151,2017-05-06,North Melbourne,Adelaide,145,86,0,5.58,1.15,2017,59,48.0,64.0,-62.0,-33.0,10.0,-77.0,7.0,1
152,2017-05-05,St Kilda,GWS Giants,108,85,0,2.73,1.46,2017,23,48.0,64.0,-47.0,-35.0,-9.0,7.0,72.0,1
153,2017-04-30,Adelaide,Richmond,140,64,0,1.16,5.24,2017,76,64.0,32.0,36.0,36.0,-10.0,-38.0,19.0,1
154,2017-04-30,Geelong,Collingwood,78,107,0,1.28,3.67,2017,-29,68.0,36.0,-24.0,-48.0,41.0,11.0,-6.0,0
155,2017-04-30,Essendon,Melbourne,74,112,0,1.97,1.83,2017,-38,12.0,40.0,13.0,9.0,-1.0,148.0,-6.0,0
156,2017-04-29,West Coast,Fremantle,103,62,0,1.31,3.44,2017,41,64.0,16.0,46.0,33.0,24.0,-30.0,-7.0,1
157,2017-04-29,North Melbourne,Gold Coast,107,94,0,1.43,2.82,2017,13,48.0,24.0,38.0,-55.0,-43.0,-15.0,7.0,1
158,2017-04-29,Brisbane,Port Adelaide,67,150,0,5.57,1.15,2017,-83,12.0,40.0,-94.0,-77.0,37.0,-113.0,-9.0,0
159,2017-04-29,Carlton,Sydney,97,78,0,3.7,1.28,2017,19,28.0,68.0,-6.0,-60.0,-60.0,-71.0,-24.0,1
160,2017-04-29,Hawthorn,St Kilda,55,130,0,1.82,2.0,2017,-75,68.0,48.0,3.0,63.0,145.0,46.0,35.0,0
161,2017-04-28,GWS Giants,Western Bulldogs,75,73,0,1.3,3.52,2017,2,64.0,60.0,-6.0,25.0,-45.0,6.0,-27.0,1
162,2017-04-25,Essendon,Collingwood,100,82,0,2.46,1.55,2017,18,12.0,36.0,-69.0,3.0,-20.0,64.0,-23.0,1
163,2017-04-24,Richmond,Melbourne,88,75,0,1.68,2.18,2017,13,32.0,40.0,-33.0,-32.0,-17.0,34.0,23.0,1
164,2017-04-23,Hawthorn,West Coast,125,75,0,2.74,1.46,2017,50,68.0,64.0,-25.0,46.0,46.0,-32.0,14.0,1
165,2017-04-23,St Kilda,Geelong,88,126,0,2.57,1.5,2017,-38,48.0,68.0,3.0,0.0,-96.0,-101.0,-42.0,0
166,2017-04-22,Fremantle,North Melbourne,67,62,0,1.61,2.31,2017,5,16.0,48.0,-31.0,-11.0,73.0,-13.0,38.0,1
167,2017-04-22,Sydney,GWS Giants,63,105,0,2.55,1.51,2017,-42,68.0,64.0,-36.0,-42.0,25.0,89.0,21.0,0
168,2017-04-22,Gold Coast,Adelaide,86,153,0,4.17,1.23,2017,-67,24.0,64.0,-75.0,-45.0,-41.0,-32.0,-28.0,0
169,2017-04-22,Western Bulldogs,Brisbane,122,90,0,1.05,10.23,2017,32,60.0,12.0,53.0,-8.0,72.0,-8.0,-7.0,1
170,2017-04-21,Port Adelaide,Carlton,137,47,0,1.06,8.97,2017,90,40.0,28.0,-2.0,-4.0,103.0,33.0,-1.0,1
171,2017-04-17,Hawthorn,Geelong,48,134,0,2.87,1.42,2017,-86,68.0,68.0,-2.0,-30.0,36.0,62.0,36.0,0
172,2017-04-16,Brisbane,Richmond,67,119,0,3.17,1.35,2017,-52,12.0,32.0,-42.0,-79.0,-25.0,-43.0,-23.0,0
173,2017-04-16,Collingwood,St Kilda,55,69,0,1.62,2.29,2017,-14,36.0,48.0,-29.0,74.0,86.0,26.0,6.0,0
174,2017-04-15,Adelaide,Essendon,153,88,0,1.16,5.29,2017,65,64.0,12.0,82.0,112.0,-9.0,-35.0,4.0,1
175,2017-04-15,Carlton,Gold Coast,82,108,0,2.05,1.77,2017,-26,28.0,24.0,-54.0,34.0,39.0,43.0,-12.0,0
176,2017-04-15,GWS Giants,Port Adelaide,112,81,0,1.37,3.09,2017,31,64.0,40.0,19.0,86.0,-21.0,-35.0,-75.0,1
177,2017-04-15,Melbourne,Fremantle,104,106,0,1.35,3.19,2017,-2,40.0,16.0,32.0,-54.0,-68.0,-63.0,-95.0,0
178,2017-04-14,North Melbourne,Western Bulldogs,86,89,0,3.54,1.3,2017,-3,48.0,60.0,-14.0,16.0,-23.0,50.0,29.0,0
179,2017-04-13,West Coast,Sydney,91,65,0,1.36,3.15,2017,26,64.0,68.0,-39.0,52.0,-28.0,-34.0,-52.0,1
180,2017-04-09,Gold Coast,Hawthorn,139,53,0,3.06,1.38,2017,86,24.0,68.0,-26.0,-53.0,-53.0,-99.0,-26.0,1
181,2017-04-09,Carlton,Essendon,57,42,0,3.23,1.35,2017,15,28.0,12.0,-24.0,15.0,-21.0,0.0,-81.0,1
182,2017-04-09,St Kilda,Brisbane,107,76,0,1.15,5.44,2017,31,48.0,12.0,58.0,22.0,-3.0,-31.0,13.0,1
